acc_time,asm,emu
11000,440,439
21000,839,839
31000,1239,1238
41000,1640,1639
51000,2040,2039
61000,2440,2438
71000,2839,2583
81000,3239,3239
91000,3639,3382
101000,4039,4038
111000,4439,4182
121000,4839,4838
131000,5240,4982
141000,5640,5382
151000,6040,6038
161000,6440,6182
171000,6840,6837
181000,7240,6982
191000,7640,7637
201000,8040,7783
211000,8440,8439
221000,8840,8582
231000,9239,8982
241000,9639,9383
251000,10039,9782
261000,10439,10182
271000,10839,10582
281000,11239,10982
291000,11639,11382
301000,12039,11525
311000,12439,12182
321000,12839,12326
331000,13239,13238
341000,13640,13639
351000,14040,14038
361000,14440,14438
371000,14840,14839
381000,15239,15238
391000,15640,15382
401000,16040,16039
411000,16440,16182
421000,16840,16838
431000,17240,16982
441000,17640,17638
451000,18039,17782
461000,18439,18182
471000,18839,18583
481000,19239,18983
491000,19639,19382
1000,40,39
11000,440,439
21000,839,839
31000,1239,1238
41000,1640,1639
51000,2040,2039
61000,2440,2438
71000,2839,2583
81000,3239,3239
91000,3639,3382
101000,4039,4038
111000,4439,4182
121000,4839,4838
131000,5240,4982
141000,5640,5382
151000,6040,6038
161000,6440,6182
171000,6840,6837
181000,7240,6982
191000,7640,7637
201000,8040,7783
211000,8440,8439
221000,8840,8582
231000,9239,8982
241000,9639,9383
251000,10039,9782
261000,10439,10182
271000,10839,10582
281000,11239,10982
291000,11639,11382
301000,12039,11525
311000,12439,12182
321000,12839,12326
331000,13239,13238
341000,13640,13639
351000,14040,14038
361000,14440,14438
371000,14840,14839
381000,15239,15238
391000,15640,15382
401000,16040,16039
411000,16440,16182
421000,16840,16838
431000,17240,16982
441000,17640,17638
451000,18039,17782
461000,18439,18182
471000,18839,18583
481000,19239,18983
491000,19639,19382
